Tiflisi,10.0
Post Factum,9.333
Detectives,9.0
ყველაზე ძლიერი,9.0
დიდი ოჯახი,9.0
სხვა ნანუკა,9.0
მასტერშეფი,9.0
ParadoX,8.0
სიყვარულს მიღმა,8.0
იდეალური დედა,8.0
Talk Show Profile,8.0
Artificial Respiration,8.0
შუა ქალაქში,8.0
სხვა შუაღამე,8.0
ნანუკა ჟორჟოლიანის შოუ,8.0
ქალები,8.0
Boys and Girls,7.0
Spirali,7.0
My Wife's Girlfriends,6.8
Only Georgian,6.0
Girl From the Suburbs,6.0
this is Georgia,6.0
ღამის შოუ პირველზე,6.0
Kerch: Lost Heroes,5.0
Wives and Husbands,5.0
თენდება გვიან,5.0
Data Tutashkhia,3.0
Hidden Envelope,3.0
მგლების იმპერია,2.0
რა დროს ძილია,0.0
პრაიმ ჰაუსი,0.0
3G,0.0
პრაიმშოუ,0.0
Nika and Lika,0.0
They live here in Guntsadze,0.0
Lie Detector,0.0
Tesea,0.0
The Vano's Show,0.0
Lucky Wheel,0.0
მგლების ხორუმი,0.0
27 dragon,0.0
546456,0.0
Coffee and Beer,0.0
Ekivoki,0.0
K 17,0.0
ეჰ, მეგობრებო ...,0.0
მტვრის გემო,0.0
The Clinic,0.0
Great Break,0.0
აშშ  - ახალი შაბათის შოუ,0.0
